,rank,name,year,Douban_rating,country,genres,budget,revenue,keywords,MLens_rating
0,1,The Shawshank Redemption,1994,9.7,US,Drama/Crime,25000000,28341469,prison/corruption/police brutality/prison cell/delinquent/parole board/prison escape/wrongful imprisonment/framed for murder/1940s,4.469993781094527
1,2,Farewell My Concubine,1993,9.6,CN,Drama,0,0,gay/china/society/cultural revolution/woman between two men/best friend/beijing/chinese opera/female impersonator/severed finger,4.469993781094527
2,3,Forrest Gump,1994,9.5,US,Comedy/Drama/Romance,55000000,677945399,vietnam veteran/hippie/washington d.c./mentally disabled/based on novel or book/parent child relationship/vietnam war/friendship/love/family relationships/military/wounded soldier/low iq/false history,4.469993781094527
3,4,Léon: The Professional,1994,9.4,FR,Crime/Drama/Action,16000000,45284974,new york/corruption/loss of loved one/assassin/police brutality/s.w.a.t./immigrant/hitman/training/revenge/murder/loneliness/neighbor/tragic love/cult film/neo-noir/complex relationship,4.469993781094527
4,5,Life Is Beautiful,1997,9.5,IT,Comedy/Drama,20000000,229400000,italy/riddle/loss of loved one/bookshop/self sacrifice/mass murder/concentration camp/fascism/world war ii/love of one's life/deportation/jew persecution/nazi/national socialism/charade/riding a bicycle/story teller/concentration camp prisoner/dying and death,4.469993781094527
5,6,Titanic,1997,9.4,US,Drama/Romance/Thriller,200000000,1845034188,iceberg/ship/panic/titanic/ocean liner/epic/rich woman poor man/love/disaster/tragic love/class differences/imax/star crossed lovers/steerage/rich snob/inspired by true events,4.469993781094527
6,7,Spirited Away,2001,9.3,JP,Animation/Family/Fantasy,19000000,274925095,witch/parent child relationship/magic/darkness/bath house/ghost world/parallel world/amusement park/youkai/japanese mythology/anime/spirits,4.469993781094527
7,8,Schindler's List,1993,9.5,US,Drama/History/War,22000000,321365567,based on novel or book/factory/concentration camp/hero/holocaust/world war ii/ghetto/jew persecution/krakow/auschwitz/industrialist/jew/nazi/defense industry/biography/based on a true story/train/poland/ss/weapons manufacturer,4.469993781094527
8,9,Inception,2010,9.3,GB,Action/Science Fiction/Adventure,160000000,825532764,"paris, france/spy/philosophy/hotel/allegory/dream/virtual reality/fistfight/car crash/rescue/mission/los angeles/danger/zero gravity/imagination/dream world/idea/subconscious",4.469993781094527
9,10,Hachi: A Dog's Tale,2009,9.3,GB,Drama/Family,16000000,47801389,loyalty/human animal relationship/friendship/friends/family relationships/dog/newspaper reporter/family dog/waiting,4.469993781094527
10,11,WALL·E,2008,9.3,US,Animation/Family/Science Fiction,180000000,521311860,garbage/space travel/dystopia/loneliness/distant future/robot/dystopian future/aftercreditsstinger/duringcreditsstinger,4.469993781094527
11,12,The Legend of 1900,1998,9.3,IT,Drama/Music/Romance,9000000,0,ocean/ship/pianistin/child prodigy/fondling,4.469993781094527
12,13,3 Idiots,2009,9.2,IN,Drama/Comedy/Romance,9000000,70000000,suicide/suicide attempt/college/friends/engineering/student/subjective camera,4.469993781094527
13,14,The Chorus,2004,9.3,CH,Drama,0,0,penalty/choir/diary/musical/boy's choir/dormitory/music/boarding school/children/principal/boys' boarding school/1940s,4.469993781094527
14,15,The Truman Show,1998,9.3,US,Comedy/Drama,60000000,264118201,claustrophobia/hidden camera/dystopia/reality tv/make believe/pretend,4.469993781094527
15,16,Interstellar,2014,9.3,GB,Adventure/Drama/Science Fiction,165000000,675120017,artificial intelligence/nasa/spacecraft/expedition/future/wormhole/space travel/famine/black hole/dystopia/race against time/quantum mechanics/space/rescue/family relationships/farmhouse/robot/astronaut/scientist/single father/farmer/space station/imax/father daughter relationship,4.469993781094527
16,17,A Chinese Odyssey Part Two: Cinderella,1995,9.2,HK,Comedy/Fantasy,0,2692748,,4.469993781094527
17,18,My Neighbor Totoro,1988,9.2,JP,Fantasy/Animation/Family,0,0,japan/sibling relationship/mother/leave/village/rural setting/hospital/new neighbor/new home/super power/magical creature/cute/anime,4.469993781094527
18,19,Silenced,2011,9.3,KR,Drama,2200000,31500000,child abuse/rape/based on novel or book/based on a true story/disability/teacher student sex/sex crime/deaf child,4.469993781094527
19,20,Infernal Affairs,2002,9.2,HK,Drama/Action/Thriller/Crime/Mystery,0,8708932,undercover/undercover agent/hong kong,4.469993781094527
20,21,The Godfather,1972,9.3,US,Drama/Crime,6000000,245066411,italy/loss of loved one/love at first sight/italian american/europe/patriarch/organized crime/mafia/lawyer/crime family/rise to power/mob boss/1940s/1950s,4.469993781094527
