,rank,name,year,Yahoo_rating,country,genres,budget,revenue,keywords,MLens_rating
0,1,Bohemian Rhapsody,2018,4.70,GB,Drama/Music,52000000.0,894027543.0,"london, england/gay/aids/1970s/queen/musician/biography/based on a true story/hiv/homosexuality/singer/fame/rock band/music band/lgbt/1980s/parsi",4.469993781094527
1,2,Back to the Future,1985,4.58,US,Adventure/Comedy/Science Fiction/Family,19000000.0,381109762.0,clock tower/car race/terrorist/delorean/lightning/guitar/plutonium/sports car/inventor/journey in the past/invention/time travel/race against time/partner/misfit/mad scientist/fish out of water/teenage love/destiny/hidden identity/odd couple/escapade/disorder/chases and races/love and romance/teenage life/misfit partners/changing the past or future/getting home,4.469993781094527
2,3,Kurosawa Movie 14 The Seven Samurai,1954,4.57,,,,,,
3,4,Rise -Dal riser THE MOVIE-,2017,4.57,,,,,,
4,5,Terminator 2,1991,4.54,US,Action/Thriller/Science Fiction,102000000.0,520000000.0,cyborg/shotgun/post-apocalyptic/dystopia/moral ambiguity/mental institution/violence/fictional war/morphing/nuclear weapons/shape shifter/savior/catch phrase,4.469993781094527
5,6,Fun writing of light novels,2010,4.54,,,,,,
6,7,Phantom of the Opera 25th Anniversary Performance in London,2011,4.54,,,,,,
7,8,Pacific Miracle Operation Kisca,1965,4.54,,,,,,
8,9,Geki x Cine SHIROH,2005,4.54,,,,,,
9,10,Show Shank in the Sky,1994,4.53,,,,,,
10,11,Leon Complete Edition,1994,4.53,,,,,,
11,12,Sheep Song,2001,4.53,,Drama,0.0,0.0,vampire/high school/horror/romance/tragedy/art/angst/seinen/clubs,4.469993781094527
12,13,Can't Buy Me Love,1987,4.53,US,Drama/Comedy/Romance/Family,1800000.0,31623833.0,,4.469993781094527
13,14,Journey to the Heart,1942,4.53,,,0.0,0.0,,4.469993781094527
14,15,Henmen Holding Hands,1996,4.53,,,,,,
15,16,Sound of Music,1965,4.52,US,Drama/Family/Music/Romance,8200000.0,286214286.0,resistance/austria/world war ii/musical/music competition/salzburg/based on play or musical/classic/alps/governess/convent/novice/puppet show/nun in love/nazi occupation/1930s,4.469993781094527
16,17,City Light,1931,4.52,US,Comedy/Drama/Romance,1500000.0,19181.0,suicide attempt/operation/blindness and impaired vision/love of one's life/eye operation/flower shop/flower girl/tramp/love/black and white/millionaire/silent film/blind girl/little tramp,4.469993781094527
17,18,Giraffe,1962,4.52,DK,Drama,0.0,0.0,,4.469993781094527
18,19,Made in Haven,1987,4.52,,,,,,
19,20,Oath Vacation,1959,4.52,,,,,,
20,21,Pele,1987,4.52,US,Drama/History,0.0,27312.0,biography/sport/professional football (soccer) player/football (soccer),4.469993781094527
21,22,Roman Holiday,1953,4.51,US,Comedy/Romance/Drama,1500000.0,12000000.0,rome italy/secret identity/boat/dance/intelligence/forbidden love/embassy/duty/sightseeing/photography/trevi fountain,4.469993781094527
22,23,Sting,1973,4.51,US,Comedy/Crime/Drama,5500000.0,159616327.0,chicago/bet/horse race/repayment/con man/mafia boss/caper/violence/ragtime/off track betting/sting operation/alley/1930s/20th century,4.469993781094527
23,24,Beyond the Far Sky,1999,4.51,,,,,,
24,25,Twelve Angry Men,1954,4.51,US,Drama/TV Movie,0.0,0.0,,4.469993781094527
25,26,Mistress,1957,4.51,US,Fantasy/Family/Adventure,85000000.0,385990275.0,fairy tale,4.469993781094527
26,27,Geki X Cine The Seven People in the Castle,2013,4.51,,,,,,
27,28,Geki x Cine Rose and Samurai,2011,4.51,,,,,,
28,29,Geki x Cine The Blue Ghost,2010,4.51,,,,,,
29,30,The Sand Woman,1964,4.51,,,,,,
30,31,Provence Story / Marcel's Castle,1990,4.51,,,,,,
31,32,Terminator 2 / Special Edition,1993,4.50,,,,,,
32,33,Kurosawa Movie 21 Sanjuro Tsubaki,1962,4.49,,,,,,
33,34,Terminator 2 3D,2017,4.49,US,Science Fiction/Action,0.0,0.0,short,4.469993781094527
34,35,Nansa in the Sky,2005,4.49,,,,,,
35,36,Dancing Hero,1992,4.49,,,,,,
36,37,Godfather,1972,4.48,US,Drama/Crime,6000000.0,245066411.0,italy/loss of loved one/love at first sight/italian american/europe/patriarch/organized crime/mafia/lawyer/crime family/rise to power/mob boss/1940s/1950s,4.469993781094527
37,38,Fight without Juniyoshi,1973,4.48,,,,,,
38,39,Avatar <Special Edition>,2010,4.48,US,Action/Adventure/Fantasy/Science Fiction,237000000.0,2787965087.0,culture clash/future/space war/space colony/society/space travel/futuristic/romance/space/alien/tribe/alien planet/marine/soldier/battle/love affair/space opera/anti war/power relations/mind and soul,4.469993781094527
39,40,Geki Xine Goemon Rock,2009,4.48,,,,,,
40,41,Torch Song Trilogy,1988,4.48,,Comedy/Drama/Romance,0.0,4865997.0,gay/new york/drag queen/homophobia/homosexuality/based on play or musical/hate crime/female impersonator,4.469993781094527
41,42,Macaroni,1985,4.48,IT,Drama/Comedy,0.0,0.0,,4.469993781094527
42,43,Leon,1994,4.47,FR,Crime/Drama/Action,16000000.0,45284974.0,new york/corruption/loss of loved one/assassin/police brutality/s.w.a.t./immigrant/hitman/training/revenge/murder/loneliness/neighbor/tragic love/cult film/neo-noir/complex relationship,4.469993781094527
43,44,Diehard 1,1988,4.47,JP,Action,0.0,0.0,,4.469993781094527
44,45,Beyond the Aurora,2000,4.47,,,,,,
45,46,Alien 2 Complete Edition,1986,4.47,,,,,,
46,47,Fight without Proxy 3,1973,4.47,,,,,,
47,48,Great Escape,1963,4.46,US,Adventure/Drama/History/Thriller/War,4000000.0,11744471.0,based on novel or book/optimism/switzerland/baseball/famous score/prisoner/shower/world war ii/prisoner of war/claustrophobia/nazi/machinegun/dystopia/attempt to escape/uniform/freedom/based on a true story/prison guard/tragedy/escape/swastika/barbed wire/solitary confinement/motorcycle/alps,4.469993781094527
48,49,My Friend Forever,1995,4.46,,,,,,
49,50,Kurosawa Movie 20 Bouncer,1961,4.46,,,,,,
50,51,"Farewell, My Love / Haou Bekki",1993,4.46,,,,,,
51,52,Kurosawa Movie 23 Red Beard,1965,4.46,,,,,,
52,53,Prefectural police and organized violence,1975,4.46,,,,,,
53,54,Army flag flutters down,1972,4.46,,,,,,
54,55,Family,1983,4.46,US,Comedy/Family/Fantasy,47000000.0,48919043.0,sibling relationship/jealousy/baby/butler/yuppie/nanny/summer camp/guillotine/uncle,4.469993781094527
55,56,Matthew Bone's Swan Lake 3D,2012,4.46,,,,,,
56,57,Terminator,1984,4.45,GB,Action/Thriller/Science Fiction,6400000.0,78371200.0,saving the world/artificial intelligence/rebel/cyborg/laser gun/shotgun/killer robot/dystopia/los angeles/car chase/urban setting/future war/griffith observatory,4.469993781094527
57,58,Little Dancer,2000,4.45,BR,Music,0.0,0.0,,4.469993781094527
58,59,Wings of Harken Kreuz,2004,4.45,,,,,,
59,60,Ulysses Eyes,1995,4.45,,,,,,
60,61,`` Saki-Achiga Episode of side-A '',2018,4.44,JP,Drama,0.0,0.0,mahjong,4.469993781094527
61,62,Once Upon A Time in America / Complete Edition,1984,4.44,,,,,,
62,63,Tange Left Story Hyakugo no Uta,1935,4.44,,,,,,
63,64,Whether to Live or Die,1942,4.44,,,,,,
64,65,Eyes Eyes,1957,4.44,,,0.0,0.0,,4.469993781094527
65,66,Sonata for the Good,2006,4.43,,,,,,
66,67,Stella,1990,4.43,US,Romance/Drama,0.0,20240128.0,,4.469993781094527
67,68,Twenty Four Eyes,1954,4.43,JP,Drama,0.0,0.0,patriotism/bus ride/sino japanese war/school/blind/poverty/anti war/schoolteacher/snare/class reunion,4.469993781094527
68,69,Pirate Sentai Gokaiger VS Space Sheriff Gavan THE MOVIE,2011,4.43,JP,Action/Adventure/Science Fiction,0.0,0.0,tokusatsu/metal hero series/space sheriff gavan,4.469993781094527
69,70,Cine Demon in the woods,2007,4.43,,,,,,
70,71,Hole,1960,4.43,GB,Crime/Drama/Horror/Thriller,0.0,0.0,jealousy/obsession/claustrophobia/bunker/thirst/group dynamics/bulimia/wrong accusal/alibi/supernatural/murder/psychologist/youth/celebration,4.469993781094527
71,72,Love Song,1996,4.43,,Romance/TV Movie,0.0,0.0,ex-lover/christmas/return home/estranged family/country singer,4.469993781094527
72,73,If You Are / Tamae Kanae,1994,4.43,,,,,,
73,74,Music Box,1989,4.43,US,Thriller,0.0,6263883.0,war crimes/jurors/proof/court case/sentence/daughter/court,4.469993781094527
74,75,Back to the Future PART2,1989,4.42,,,,,,
75,76,The Godfather PART II,1974,4.42,US,Drama/Crime,13000000.0,102600000.0,italy/italian american/cuba/melancholy/praise/revenge/mafia/lawyer/blood/suburb/corrupt politician/bloody body of child/man punches woman,4.469993781094527
76,77,The St. Of Woman The Fragrance of Dreams,1992,4.42,,,,,,
77,78,Tokyo Story,1953,4.42,JP,Drama,0.0,0.0,coma/beach/baby/fish/boat/office/baseball/classroom/dream/trip/lantern/lie/ambition/water/tea/song/retirement/cake/marriage/peace/class/swing/honor/gift/teacher/school/old man,4.469993781094527
78,79,The Battle Without Innocence 2 Hiroshima Death Fight,1973,4.42,,,,,,
79,80,My Name is Hahn,2010,4.42,,,,,,
80,81,Thunderbolt Fantasy Life and Death,2017,4.42,,,,,,
81,82,Night and Fog,1955,4.42,FR,History/Documentary/War,0.0,0.0,germany/destruction of a civilization/polen/world war ii/prisoner of war/auschwitz/nazi/independent film/nazi germany/torture/short,4.469993781094527
82,83,Wild Lilies,1963,4.42,XC,Drama,0.0,0.0,,4.469993781094527
83,84,No People Poor and Beautiful,1961,4.42,,,,,,
84,85,Freedom Illusion,1974,4.42,,,,,,
85,86,Dark Knight Series 2 Dark Knight,2008,4.41,,,,,,
86,87,Love Songs for Angels ...,1992,4.41,,,,,,
87,88,The World's Fastest Indian,2005,4.41,NZ,Drama,25000000.0,0.0,new zealand/utah/life's dream/motor sport/independent film/motorcycle/trailer/mortgage/1960s/speed records,4.469993781094527
88,89,Infantal Affair,2002,4.41,,,,,,
89,90,Setouchi Pirate Story,2013,4.41,,,,,,
90,91,Miracle,1962,4.41,US,Drama,500000.0,2500000.0,blindness and impaired vision/education/biography/historical figure/teacher/tutor/tantrum/railway station/institution/19th century/struggle/blind child,4.469993781094527
91,92,Red Dream,1991,4.41,US,Family/Animation,0.0,0.0,,4.469993781094527
92,93,Love Story,1956,4.41,US,Drama/Romance,2200000.0,136400000.0,based on novel or book/harvard university/college/cancer/tragic love/class differences/string ensemble/telephone box/lapsed catholic/trying to get pregnant/snow angel/rich man poor woman,4.469993781094527
93,94,Dako and Anton,2000,4.41,,,,,,
94,95,Dream,2016,4.40,FR,Comedy,0.0,0.0,foot,4.469993781094527
95,96,Wonder You are the Sun,2017,4.40,,,,,,
96,97,Amadeus,1984,4.40,US,Drama/History/Music,18000000.0,51973029.0,italy/austria/composer/opera/talent/emperor/musician/marriage crisis/mozart/god/murder/vienna austria/envy/18th century,4.469993781094527
97,98,Kurosawa Movie 13 Live,1952,4.40,,,,,,
98,99,Osaka Hamlet,2008,4.40,JP,Drama,0.0,0.0,,4.469993781094527
99,100,Lorenzo Oil / Poem of Life,1992,4.40,,,,,,
100,101,Chest!,2008,4.40,US,Adventure/Fantasy/Action,200000000.0,1065659812.0,witch/fortune teller/bondage/exotic island/monster/captain/card game/east india trading company/compass/ship/daughter/pirate/swashbuckler/aftercreditsstinger,4.469993781094527
101,102,Mirko no Hikari,2005,4.40,,,,,,
102,103,Joey,1977,4.40,US,TV Movie/Drama,0.0,0.0,,4.469993781094527
103,104,Anne of Redhead / Complete Edition,1986,4.40,,,,,,
104,105,Paddington 2,2017,4.39,FR,Adventure/Comedy/Family,40000000.0,185847106.0,"london, england/based on novel or book/sequel/bear/train/based on children's book/animal/aging actor",4.469993781094527
105,106,"Wonderful Life, Life!",1946,4.39,,,,,,
106,107,Hanai's Hanabi,2010,4.39,,,,,,
107,108,In the rain,1952,4.39,US,Comedy/Music/Romance,2540800.0,7200000.0,fan/morning/musical/talkie/partner/film in film/hollywood/broadway/audience/chorus girl/diction coach/pearl necklace/flapper/1920s,4.469993781094527
108,109,Billy Elliot Musical Live / Little Dancer,2014,4.39,,,,,,
109,110,Flight to the Unknown,1964,4.39,,,,,,
110,111,Summer Story,1988,4.39,GB,Romance/Drama,0.0,0.0,england/past,4.469993781094527
